source_image,row_index,Sheet,Series Title,World Index Number,No of Cards,Card Nos.
IMG_5545.HEIC,1,6301,Actresses,0/2-3,50,
IMG_5545.HEIC,2,6302,Cricketers & Sportsmen,0/2-15,50,
IMG_5545.HEIC,3,6303,Army Crests & Mottoes (1/46),0/2-6,50,
IMG_5545.HEIC,4,6304,Army Crests & Mottoes (47/94),0/2-6,50,
IMG_5545.HEIC,5,6305,Army Crests & Mottoes (95/140),0/2-6,50,
IMG_5545.HEIC,6,6306,Army Crests & Mottoes (141/187),0/2-6,51,
IMG_5545.HEIC,7,6307,Army Crests & Mottoes (188/192),0/2-12,45j,
IMG_5545.HEIC,8,,Beauties & Military,,7),
IMG_5545.HEIC,9,6308,,0/2-98,43),
IMG_5545.HEIC,10,,Dominoes,,12],
IMG_5545.HEIC,11,,Australian Test Cricketers 1928-29,0/2-126,36j 50,
IMG_5545.HEIC,12,6310,Beauties (1/50),0/2-7,48,
IMG_5545.HEIC,13,6311 6312,Beauties (51/98),0/2-8,50 27],
IMG_5545.HEIC,14,6313,,11,25j,
IMG_5545.HEIC,15,,Actresses,0/2-1,,
IMG_5545.HEIC,16,6314,Cricket & Football Teams Women,0/2-14,12},
IMG_5545.HEIC,17,,Captains of Association Football .,0/2-135,37} 7),
IMG_5545.HEIC,18,6315,Football Club Badges,0/2-101,42),
IMG_5545.HEIC,19,6316,Miniature Playing Cards - I,0/2-18-I,50 26],
IMG_5545.HEIC,20,6317,Miniature Playing Cards - II,0/2-18-II,26],
IMG_5545.HEIC,21,6318,Miniature Playing Cards -III,0/2-18-II1,26) 26),
IMG_5545.HEIC,22,6319,Miniature Playing Cards - Iv Shakespeare Series,0/2-18-IV 0/2-20,50,
IMG_5545.HEIC,23,6320,Victoria Cross Heroes,0/2-21,50 50,
IMG_5545.HEIC,24,6321,Birds'Eggs British Birds,0/2-91 0/2-95-1,50,
IMG_5545.HEIC,25,6322 6323,British Birds - 2nd Series,0/2-95-2,50,
IMG_5545.HEIC,26,6324,Boxers,0/2-92,50,
IMG_5545.HEIC,27,6325,British Costumes from 100 BC to 1904,0/2-96,50,
IMG_5545.HEIC,28,6326,Club Badges,0/2-97,50 50,
IMG_5545.HEIC,29,6327,Famous Footballers Orders of Chivalry,0/2-99 0/2-107,50,
IMG_5545.HEIC,30,6329,Owners Racing Colours & Jockeys,0/2-108,50,
IMG_5545.HEIC,31,6330,Owners Racing Colours & Jockeys,11,25],
IMG_5545.HEIC,32,,Famous Dirt-Track Riders,0/2-147,25],
IMG_5545.HEIC,33,6331,Poultry-1st & 2nd,0/2-110-1/2,50,
IMG_5545.HEIC,34,6332,Pugilists & Wrestlers,0/2-111-1,50,
IMG_5545.HEIC,35,6333,"Pugilists & Wrestlers, 2nd",0/2-111-2,25],
IMG_5545.HEIC,36,,Records of the World,0/2-113,25],
IMG_5545.HEIC,37,6334,Racehorses,0/2-112,50,
IMG_5545.HEIC,38,6335,Soldiers of the King,0/2-116,50,
IMG_5545.HEIC,39,6336,Swiss Views,0/2-117,50,
IMG_5545.HEIC,40,6337,Applied Electricity,0/2-125,50,
IMG_5545.HEIC,41,6338,Birds Eggs,0/2-128,50,
